film,filmLabel,publicationYear,assessmentLabel,outcomeLabel,reviewScore
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,Raleigh Becket Test,не проходит,1/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,BubbleGum Test,не проходит,0/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,Russ Test,не проходит,1/2
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,тест Шукла,не проходит,0/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,Topside Test,не проходит,0/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,обратный тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,тест Ландау,не проходит,
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,тест Тауриэль,не проходит,1/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,тест Тириона,не проходит,
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,тест Бекдел,не проходит,1/3
http://www.wikidata.org/entity/Q334132,Великий мышиный сыщик,1986,Celia Imrie Test,проходит,
http://www.wikidata.org/entity/Q339467,Снежная королева,2015,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q339467,Снежная королева,2012,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q373096,Как приручить дракона,2010,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q373096,Как приручить дракона,2010,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q373096,Как приручить дракона,2010,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q373096,Как приручить дракона,2010,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q373096,Как приручить дракона,2010,обратный тест Бекдел,проходит,
http://www.wikidata.org/entity/Q373096,Как приручить дракона,2010,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q374431,Приключения Тигрули,2000,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q374431,Приключения Тигрули,2000,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q374431,Приключения Тигрули,2000,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q378913,Властелин колец,1979,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q378913,Властелин колец,1978,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q382289,Звёздные войны: Войны клонов,2008,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q382289,Звёздные войны: Войны клонов,2008,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,тест Тауриэль,проходит,
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,reverse Waithe Test,проходит,
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,BubbleGum Test,не проходит,0/3
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,тест Мако Мори,не проходит,2/3
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,Topside Test,не проходит,0/3
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,Coates Test,не проходит,0/3
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,тест Вито Руссо,не проходит,0/3
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,тест Ландау,проходит,
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,тест Риза,неприменимо,
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,обратный тест Мако Мори,проходит,
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,Тест Лины Уэйт,не проходит,0/3
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,тест Фельдмана,не проходит,2/10
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,тест Тириона,проходит,
http://www.wikidata.org/entity/Q392530,Планета сокровищ,2002,тест Шукла,не проходит,1/3
